row_id,Actual,dt_dummy_proba
20810,0,0.0
2860,0,0.15324165029469547
4408,0,0.2318840579710145
25747,0,0.5807962529274004
23441,0,0.0
1825,0,0.2727272727272727
8438,0,0.002364066193853428
16783,0,0.0
145,0,0.05555555555555555
380,1,0.5807962529274004
2807,0,0.12121212121212122
946,1,1.0
9169,0,0.0
16281,0,0.1111111111111111
9773,0,0.0
14381,1,0.4887063655030801
3567,0,0.16083916083916083
28542,0,0.0
2368,0,0.0
3316,1,0.6111111111111112
21019,0,0.15324165029469547
23340,0,0.0
23156,1,0.6884816753926701
18067,0,0.16981132075471697
13010,0,0.4235294117647059
24273,0,0.2727272727272727
20874,0,0.33970276008492567
24508,0,0.10759493670886076
17117,0,0.0058309037900874635
28966,0,0.0
11498,1,0.33970276008492567
13278,0,0.02531645569620253
21712,1,1.0
6113,1,0.2112676056338028
1115,1,0.4887063655030801
13154,1,0.029850746268656716
26819,0,0.0
19001,0,0.0
30481,0,0.22972972972972974
37,1,0.08860759493670886
19089,1,0.33970276008492567
5367,0,0.02531645569620253
979,0,0.21333333333333335
286,1,0.15324165029469547
16849,0,0.0
5147,0,0.0
27140,0,0.4887063655030801
22862,1,1.0
20544,0,0.07936507936507936
30627,0,0.0
14726,0,0.002364066193853428
7573,0,0.0
27794,0,0.5625
15234,0,0.0
9733,0,0.017035775127768313
27272,0,0.0
15396,0,0.0
789,1,0.33970276008492567
8394,0,0.06097560975609756
8439,0,0.4887063655030801
29994,0,0.40476190476190477
26673,0,0.029850746268656716
1386,1,0.4887063655030801
1434,0,0.33970276008492567
3526,0,0.33970276008492567
4218,0,0.0
12716,0,0.002364066193853428
17708,1,0.7679180887372014
18129,0,0.0
23191,0,0.028985507246376812
26069,1,0.6111111111111112
12141,0,0.08860759493670886
22086,0,0.02857142857142857
21403,0,0.029850746268656716
24867,1,1.0
17055,1,0.9146341463414634
18571,0,0.01694915254237288
2029,1,0.875
30616,0,0.0
6782,0,0.022222222222222223
20011,0,0.13513513513513514
4892,0,0.5807962529274004
2304,1,0.4887063655030801
25871,0,0.21333333333333335
28014,0,0.0
28323,0,0.02531645569620253
28069,0,0.16083916083916083
14826,0,0.0058309037900874635
18492,0,0.16083916083916083
10974,0,0.2832369942196532
21869,0,0.0058309037900874635
14047,0,0.04918032786885246
18036,0,0.6884816753926701
2913,0,0.0
19294,0,0.0
20880,0,0.029850746268656716
19756,0,0.0
10564,0,0.4887063655030801
6470,0,0.10256410256410256
427,1,0.5625
11998,1,0.33970276008492567
20675,0,0.140625
16338,0,0.0
475,0,0.0
22106,0,0.0
30215,1,1.0
28900,0,0.011450381679389313
3651,0,0.140625
30278,0,0.028985507246376812
21841,0,0.33970276008492567
15197,1,0.1267605633802817
362,0,0.0058309037900874635
5531,1,0.8717948717948718
6003,0,0.029850746268656716
20751,0,0.01639344262295082
14058,0,0.044444444444444446
14513,1,0.33970276008492567
24524,0,0.044444444444444446
2055,0,0.07692307692307693
9394,0,0.3
4806,0,0.1590909090909091
17255,0,0.04640371229698376
7576,0,0.5204081632653061
12721,0,0.2727272727272727
12492,0,0.04640371229698376
5223,0,0.2833333333333333
10796,0,0.0
29865,1,1.0
15248,0,0.5807962529274004
1726,0,0.08860759493670886
10152,0,0.0
13875,0,0.017035775127768313
23735,1,0.06153846153846154
10990,1,0.7679180887372014
18744,1,0.20481927710843373
6290,0,0.7679180887372014
12751,0,0.33970276008492567
4632,0,0.0
17201,0,0.4235294117647059
17658,1,0.2894736842105263
8641,1,0.23809523809523808
15925,0,0.0
20831,0,0.0058309037900874635
283,0,0.1267605633802817
5208,0,0.04640371229698376
25503,0,0.08333333333333333
16523,0,0.0
16171,0,0.04
14309,0,0.12121212121212122
1159,0,0.0
28011,1,0.2727272727272727
4277,0,0.0
1955,0,0.0
18351,0,0.4887063655030801
19287,0,0.0
5681,0,0.05555555555555555
246,0,0.16083916083916083
1572,0,0.0058309037900874635
19058,0,0.33970276008492567
3835,0,0.1111111111111111
22974,0,0.4235294117647059
11955,0,0.6884816753926701
23740,0,0.6884816753926701
17069,0,0.21333333333333335
10543,1,0.8095238095238095
319,0,0.4909090909090909
22794,0,0.22972972972972974
24765,0,0.0
29182,0,0.07936507936507936
1430,0,0.0
4410,0,0.0
20614,0,0.2727272727272727
3355,1,1.0
18410,1,0.08860759493670886
10852,0,0.0967741935483871
3717,0,0.0
3904,0,0.0
19565,0,0.2247191011235955
25758,0,0.0
7512,1,0.5625
9361,1,0.06097560975609756
17061,1,0.0058309037900874635
3903,0,0.16083916083916083
13932,1,0.8592964824120602
11861,0,0.13513513513513514
13624,0,0.5807962529274004
