row_id,Actual,gnb_proba
20810,0,0.0007173550162492705
2860,0,0.0714788453502357
4408,0,0.0011958196486280227
25747,0,0.01339469628704691
23441,0,0.00526004643741204
1825,0,0.011016573119279012
8438,0,0.0019104995935238516
16783,0,0.0006299487247722139
145,0,6.633152666124586e-06
380,1,0.5338004537131491
2807,0,0.2354217738400404
946,1,1.0
9169,0,7.415915744818187e-06
16281,0,0.0018017204775735943
9773,0,0.00010894316957427188
14381,1,0.00146726428922034
3567,0,0.0009240339516154746
28542,0,0.0001648982489041657
2368,0,1.4402054384297415e-05
3316,1,0.34800880529549755
21019,0,0.1207053310104837
23340,0,0.0001318941532815242
23156,1,0.3338893997709229
18067,0,9.976296301350569e-05
13010,0,0.3764568162034134
24273,0,0.999883211291301
20874,0,0.07451433436806111
24508,0,0.0003532946203535047
17117,0,0.0017693173301122096
28966,0,0.8651053323197027
11498,1,0.12372276954797752
13278,0,0.013042335871128217
21712,1,0.9999999999972005
6113,1,0.04418569768954414
1115,1,0.07894735358195787
13154,1,0.0013780004204041903
26819,0,0.0038840150175718327
19001,0,4.679766013453826e-05
30481,0,0.0002293271378690682
37,1,0.03417979726344716
19089,1,0.18186304189084648
5367,0,0.013310879811782448
979,0,0.016584336147311845
286,1,0.05213108513008929
16849,0,0.0001548217493808656
5147,0,1.2704508059340928e-05
27140,0,0.10498166664454066
22862,1,0.9999999999999787
20544,0,0.1325638187124778
30627,0,0.0002761884823102725
14726,0,0.0019960143389968483
7573,0,0.003211568438012474
27794,0,0.10801831535826897
15234,0,0.0012392780751591481
9733,0,0.00015858985017402167
27272,0,0.0013931946176673263
15396,0,2.6341529348196004e-06
789,1,0.9997344964072731
8394,0,0.00181209397363545
8439,0,0.09399213630554595
29994,0,0.9640577558490296
26673,0,9.059860033555408e-07
1386,1,0.11455672829026799
1434,0,0.024411973656551907
3526,0,0.07018066729931555
4218,0,2.4111292809265915e-05
12716,0,0.0011042596839425283
17708,1,0.4936347580065529
18129,0,5.24861607538249e-08
23191,0,0.9997927124565283
26069,1,0.3015429427681251
12141,0,0.024447691472917813
22086,0,0.0001868612607094229
21403,0,0.0011181676914430445
24867,1,0.9999775288307615
17055,1,0.9999931488444425
18571,0,0.0019720374218843706
2029,1,0.20853869205185263
30616,0,0.0019914418279217794
