row_id,Actual,xgb_proba
20810,0,0.0003699659
2860,0,0.1638522
4408,0,0.0016819359
25747,0,0.019145157
23441,0,0.00082130753
1825,0,0.4100489
8438,0,0.021351773
16783,0,0.00021275342
145,0,0.0014887296
380,1,0.71305424
2807,0,0.0022625518
946,1,0.9988932
9169,0,3.2300684e-07
16281,0,0.023484308
9773,0,0.019672744
14381,1,0.75190985
3567,0,0.02825063
28542,0,1.7330119e-06
2368,0,1.7476988e-05
3316,1,0.48215932
21019,0,0.043420617
23340,0,5.8265673e-06
23156,1,0.86155605
18067,0,0.00010119949
13010,0,0.6546156
24273,0,0.014265865
20874,0,0.13387497
24508,0,0.21286972
17117,0,0.0018833786
28966,0,0.00011220414
11498,1,0.370302
13278,0,0.17197952
21712,1,0.99967873
6113,1,0.37216803
1115,1,0.39057875
13154,1,0.00033574537
26819,0,0.00065923034
19001,0,8.5770023e-07
30481,0,0.007655884
37,1,0.61911196
19089,1,0.85608006
5367,0,0.010400263
979,0,0.17929801
286,1,0.08483205
16849,0,0.00017153457
5147,0,1.9856789e-07
27140,0,0.89049065
22862,1,0.9999552
20544,0,0.22168541
30627,0,1.7337792e-05
14726,0,0.07928903
7573,0,0.0069354977
27794,0,0.72896
15234,0,0.00018780101
9733,0,7.622162e-06
27272,0,0.0008166385
15396,0,1.4341006e-06
789,1,0.97142035
8394,0,0.14727569
8439,0,0.5164795
29994,0,0.0007893363
26673,0,9.728264e-06
1386,1,0.62941295
1434,0,0.4054207
3526,0,0.78171754
4218,0,4.7440503e-06
12716,0,0.0006284557
17708,1,0.95166737
18129,0,1.0001181e-05
23191,0,0.00073740154
26069,1,0.89476603
12141,0,0.27504355
22086,0,0.00012440044
21403,0,0.0002297346
24867,1,0.9994729
17055,1,0.97952354
18571,0,0.0025048412
2029,1,0.9229126
30616,0,0.001995778
6782,0,0.0018355568
20011,0,0.41696054
4892,0,0.4345182
2304,1,0.7679117
25871,0,0.2215739
28014,0,0.0043229023
28323,0,0.008581083
28069,0,0.0011641042
14826,0,0.006170077
18492,0,0.028923588
10974,0,0.9115084
21869,0,0.00015949407
14047,0,0.0005427165
18036,0,0.8443052
2913,0,0.00021952574
19294,0,0.0034423592
20880,0,0.026243778
19756,0,2.0529923e-07
10564,0,0.71537966
6470,0,0.01328654
427,1,0.5081427
11998,1,0.2428289
20675,0,0.38124996
16338,0,4.0508223e-07
475,0,4.4639428e-08
22106,0,0.00018451482
30215,1,0.9838869
28900,0,0.0016606585
3651,0,8.1011734e-05
30278,0,0.0012577154
21841,0,0.4080673
15197,1,0.040843632
362,0,0.004300715
5531,1,0.76372796
6003,0,0.0008449527
20751,0,5.1570925e-07
14058,0,0.0018622662
14513,1,0.070849404
24524,0,0.0008998875
2055,0,0.00028748874
9394,0,0.886785
4806,0,0.007986079
17255,0,0.0014914512
7576,0,0.98363346
12721,0,0.8250782
12492,0,0.01728841
5223,0,0.065233745
10796,0,5.2045194e-05
29865,1,0.9999677
15248,0,0.85360444
1726,0,0.00010861814
10152,0,3.0602354e-08
13875,0,1.3453567e-08
23735,1,0.88371044
10990,1,0.26719564
18744,1,0.020977389
6290,0,0.6657434
12751,0,0.14325176
4632,0,1.8224895e-06
17201,0,0.021244263
17658,1,0.025276192
8641,1,0.058254793
15925,0,0.000885167
20831,0,0.004552674
283,0,0.5634472
5208,0,0.11821626
25503,0,0.0681568
16523,0,0.0045999577
16171,0,0.03574167
14309,0,0.011036951
1159,0,0.00066276564
28011,1,0.0019958245
4277,0,0.0024899228
1955,0,0.008244999
18351,0,0.48563093
19287,0,4.871547e-05
5681,0,0.028808486
246,0,0.057738926
1572,0,0.0025686217
19058,0,0.12062911
3835,0,0.011093682
22974,0,0.12396382
11955,0,0.64116865
23740,0,0.67788404
17069,0,0.047174744
10543,1,0.99977165
319,0,0.6135404
22794,0,8.2748025e-05
24765,0,0.007674128
29182,0,0.0061490424
1430,0,0.00047854672
4410,0,5.8775207e-05
20614,0,0.005335079
3355,1,0.9998963
18410,1,0.2389432
10852,0,0.0021878122
3717,0,0.0009982584
3904,0,4.476616e-05
19565,0,0.3857514
25758,0,0.00055581203
7512,1,0.6228442
9361,1,0.05962138
17061,1,0.71616644
3903,0,0.0010672723
13932,1,0.9443873
11861,0,0.055330638
13624,0,0.5759003
25296,1,0.73544127
22852,0,0.0003502771
16795,0,0.081187055
17485,0,0.00012154803
1396,0,0.0011143867
14869,1,0.98618317
30407,0,0.005675683
18447,0,0.07171487
2834,1,0.99995744
6570,1,0.9998518
23436,0,0.005626718
10926,1,0.38861215
13950,0,1.6410162e-05
524,0,0.011821395
21765,0,3.3792898e-05
17149,0,4.7915848e-05
21212,0,4.2772634e-05
29098,0,1.041533e-05
10285,0,0.0002664342
27825,0,0.3239385
30095,0,0.0026514349
20018,1,0.07411187
3477,0,2.2587126e-06
23452,0,0.13123636
29590,1,0.63883984
24784,1,0.04522408
9675,0,0.008748105
14079,0,1.2012888e-06
26462,0,0.20534939
9405,0,0.0023923055
6758,0,0.0025336372
27321,1,0.9421514
26269,0,3.5349024e-07
14971,0,0.03948442
24525,0,0.014112691
23758,1,0.6185265
11167,0,0.4324913
20746,0,0.023617981
9011,0,0.014774506
15989,0,0.015873672
12003,0,7.4237155e-06
23141,0,0.003989253
5834,0,0.0035318832
29175,0,0.008295371
22588,0,0.0006814276
9766,0,0.002068038
23766,0,0.0051394063
24189,1,0.0021744084
20412,0,9.528498e-07
4754,0,0.0003974383
28913,0,0.0022323064
20682,0,0.0024409739
15314,0,0.0028447825
20099,0,0.014640572
3345,0,0.104328185
22459,0,1.6013937e-05
30596,0,0.018079199
28314,1,0.28896645
414,0,0.2795882
21961,0,0.13122717
18040,0,0.00013314308
4505,1,0.30321383
8548,0,0.016810652
29036,1,0.0028130396
3317,0,0.026285386
18293,0,0.05653562
30029,1,0.4990694
17387,0,0.031704787
1163,0,0.009562145
8182,0,0.0029609504
23131,0,9.044573e-07
8880,1,0.99847776
24601,0,0.24232827
5743,0,0.47882533
9958,1,0.99418724
13115,0,0.5171007
30521,0,0.0007597774
17986,0,0.00011748731
25266,1,0.18651494
26099,0,0.00077435584
10068,1,0.14370656
9705,1,0.5856361
29291,0,0.048191268
18346,0,6.585805e-05
8212,0,3.3958946e-05
149,0,0.012645818
29176,1,0.9999927
12919,0,0.10605131
9503,0,0.013275473
343,0,0.00014529248
21303,0,1.3614158e-05
